Agent,Seed,Heuristic,Solved,HNode,LNode,Time,Makespan,SOC,SOL
50,98,distance,1, 46, 213, 31, 45, 1228, 1173
50,98,conflict,1, 46, 215, 32, 45, 1286, 1180
50,98,neighbour,1, 47, 212, 52, 46, 1245, 1148
50,99,ML,1, 46, 205, 31, 45, 1094, 1049
50,99,distance,1, 46, 215, 32, 45, 1157, 1086
50,99,conflict,1, 46, 202, 31, 45, 1178, 1071
50,99,neighbour,1, 46, 206, 52, 45, 1123, 1070
50,100,ML,1, 54, 245, 31, 53, 1415, 1291
50,100,distance,1, 54, 243, 57, 53, 1394, 1281
50,100,conflict,1, 55, 248, 31, 54, 1407, 1261
50,100,neighbour,1, 54, 229, 32, 53, 1478, 1306
50,101,ML,1, 49, 220, 32, 48, 1268, 1155
50,101,distance,1, 49, 220, 31, 48, 1309, 1164
50,101,conflict,1, 51, 225, 56, 50, 1248, 1140
50,101,neighbour,1, 74, 376, 55, 69, 1356, 1223
50,102,ML,1, 52, 239, 31, 51, 1337, 1209
50,102,distance,1, 50, 232, 52, 49, 1364, 1193
50,102,conflict,1, 53, 248, 31, 52, 1274, 1174
50,102,neighbour,1, 50, 221, 32, 49, 1337, 1182
50,103,ML,1, 38, 170, 31, 37, 1104, 1010
50,103,distance,1, 37, 163, 29, 36, 1113, 1013
50,103,conflict,1, 36, 158, 56, 35, 1065, 1003
50,103,neighbour,1, 41, 177, 31, 40, 1062, 1009
50,104,ML,1, 47, 219, 31, 46, 1213, 1107
50,104,distance,1, 47, 215, 55, 46, 1285, 1149
50,104,conflict,1, 47, 215, 53, 46, 1272, 1131
50,104,neighbour,1, 57, 280, 31, 54, 1303, 1175
50,105,ML,1, 51, 235, 31, 50, 1267, 1093
50,105,distance,1, 51, 230, 31, 50, 1215, 1068
50,105,conflict,1, 57, 255, 31, 56, 1309, 1086
50,105,neighbour,1, 77, 348, 33, 75, 1351, 1144
50,106,ML,1, 52, 236, 31, 51, 1301, 1223
50,106,distance,1, 52, 232, 32, 51, 1316, 1213
50,106,conflict,1, 56, 260, 31, 55, 1315, 1225
50,106,neighbour,1, 52, 228, 52, 51, 1326, 1235
50,107,ML,1, 48, 215, 53, 47, 1289, 1166
50,107,distance,1, 49, 217, 52, 48, 1266, 1167
50,107,conflict,1, 47, 219, 31, 46, 1261, 1157
50,107,neighbour,1, 46, 212, 31, 45, 1251, 1151
50,108,ML,1, 52, 239, 32, 51, 1286, 1172
50,108,distance,1, 52, 239, 32, 51, 1271, 1181
50,108,conflict,1, 53, 236, 51, 52, 1341, 1149
50,108,neighbour,1, 66, 298, 32, 63, 1418, 1267
50,109,ML,1, 63, 280, 32, 62, 1342, 1186
50,109,distance,1, 57, 267, 32, 56, 1246, 1153
50,109,conflict,1, 67, 308, 33, 66, 1365, 1210
50,109,neighbour,1, 77, 400, 32, 70, 1429, 1275
50,110,ML,1, 51, 237, 53, 50, 1300, 1217
50,110,distance,1, 51, 236, 32, 50, 1347, 1255
50,110,conflict,1, 52, 237, 32, 51, 1254, 1207
50,110,neighbour,1, 55, 245, 32, 53, 1384, 1294
50,111,ML,1, 44, 192, 32, 43, 1103, 1024
50,111,distance,1, 44, 201, 32, 43, 1092, 1035
50,111,conflict,1, 53, 256, 31, 48, 1166, 1095
50,111,neighbour,1, 55, 252, 32, 53, 1175, 1108
50,112,ML,1, 46, 208, 32, 45, 1235, 1125
50,112,distance,1, 44, 192, 32, 43, 1272, 1140
50,112,conflict,1, 44, 195, 31, 43, 1236, 1115
50,112,neighbour,1, 44, 191, 52, 43, 1205, 1108
50,113,ML,1, 43, 199, 50, 42, 1254, 1182
50,113,distance,1, 43, 202, 32, 42, 1237, 1174
50,113,conflict,1, 43, 192, 53, 42, 1199, 1161
50,113,neighbour,1, 46, 199, 31, 45, 1253, 1196
50,114,ML,1, 52, 245, 31, 51, 1193, 1116
50,114,distance,1, 52, 228, 53, 51, 1243, 1151
50,114,conflict,1, 52, 242, 32, 51, 1303, 1144
50,114,neighbour,1, 68, 289, 33, 66, 1340, 1209
50,115,ML,1, 58, 266, 32, 57, 1357, 1253
50,115,distance,1, 58, 268, 33, 57, 1374, 1258
50,115,conflict,1, 58, 256, 32, 57, 1327, 1237
50,115,neighbour,1, 61, 281, 52, 57, 1347, 1240
50,116,ML,1, 46, 209, 31, 45, 1244, 1151
