Agent,Seed,Heuristic,Solved,HNode,LNode,Time,Makespan,SOC,SOL
50,69,distance,1, 40, 186, 1, 39, 1232, 1157
50,69,conflict,1, 55, 252, 1, 52, 1355, 1248
50,69,neighbour,1, 50, 237, 1, 49, 1340, 1230
50,70,ML,1, 43, 190, 63, 42, 1112, 1042
50,70,distance,1, 43, 190, 1, 42, 1079, 1034
50,70,conflict,1, 45, 195, 1, 44, 1147, 1057
50,70,neighbour,1, 43, 186, 1, 42, 1112, 1060
50,71,ML,1, 49, 225, 69, 48, 1154, 1103
50,71,distance,1, 49, 226, 1, 48, 1130, 1096
50,71,conflict,1, 49, 227, 2, 48, 1136, 1089
50,71,neighbour,1, 49, 223, 1, 48, 1212, 1132
50,72,ML,1, 77, 401, 67, 65, 1275, 1163
50,72,distance,1, 57, 250, 1, 56, 1216, 1093
50,72,conflict,1, 55, 241, 1, 54, 1233, 1069
50,72,neighbour,1, 105, 467, 2, 102, 1601, 1419
50,73,ML,1, 54, 252, 66, 53, 1195, 1119
50,73,distance,1, 49, 222, 2, 48, 1196, 1128
50,73,conflict,1, 76, 385, 2, 71, 1293, 1216
50,73,neighbour,1, 76, 368, 1, 73, 1300, 1191
50,74,ML,1, 52, 219, 67, 51, 1401, 1262
50,74,distance,1, 52, 239, 1, 51, 1369, 1242
50,74,conflict,1, 52, 247, 2, 51, 1355, 1241
50,74,neighbour,1, 68, 345, 3, 63, 1505, 1313
50,75,ML,1, 50, 227, 71, 49, 1321, 1211
50,75,distance,1, 50, 230, 1, 49, 1259, 1192
50,75,conflict,1, 50, 233, 1, 49, 1280, 1182
50,75,neighbour,1, 50, 221, 2, 49, 1301, 1190
50,76,ML,1, 51, 232, 65, 50, 1305, 1205
50,76,distance,1, 51, 234, 1, 50, 1277, 1169
50,76,conflict,1, 51, 230, 1, 50, 1268, 1177
50,76,neighbour,1, 51, 224, 1, 50, 1253, 1169
50,77,ML,1, 42, 192, 68, 41, 1216, 1156
