44 , conflict , HNode: 44, LNode: 195, solved: 100ms, makespan: 43, sum_of_costs: 1109, sum_of_loss: 1037
44 , neighbour , HNode: 42, LNode: 181, solved: 96ms, makespan: 41, sum_of_costs: 1089, sum_of_loss: 1034
45 , ML , HNode: 52, LNode: 237, solved: 175ms, makespan: 51, sum_of_costs: 1300, sum_of_loss: 1160
45 , distance , HNode: 48, LNode: 216, solved: 127ms, makespan: 47, sum_of_costs: 1235, sum_of_loss: 1156
45 , conflict , HNode: 48, LNode: 216, solved: 140ms, makespan: 47, sum_of_costs: 1249, sum_of_loss: 1167
45 , neighbour , HNode: 71, LNode: 346, solved: 174ms, makespan: 69, sum_of_costs: 1445, sum_of_loss: 1240
46 , ML , HNode: 50, LNode: 228, solved: 166ms, makespan: 49, sum_of_costs: 1314, sum_of_loss: 1179
46 , distance , HNode: 42, LNode: 187, solved: 96ms, makespan: 41, sum_of_costs: 1256, sum_of_loss: 1132
46 , conflict , HNode: 60, LNode: 290, solved: 130ms, makespan: 58, sum_of_costs: 1307, sum_of_loss: 1202
46 , neighbour , HNode: 68, LNode: 340, solved: 146ms, makespan: 64, sum_of_costs: 1402, sum_of_loss: 1266
47 , ML , HNode: 45, LNode: 201, solved: 161ms, makespan: 44, sum_of_costs: 1269, sum_of_loss: 1207
47 , distance , HNode: 42, LNode: 177, solved: 130ms, makespan: 41, sum_of_costs: 1286, sum_of_loss: 1228
47 , conflict , HNode: 46, LNode: 212, solved: 130ms, makespan: 45, sum_of_costs: 1375, sum_of_loss: 1289
47 , neighbour , HNode: 80, LNode: 357, solved: 192ms, makespan: 78, sum_of_costs: 1429, sum_of_loss: 1336
48 , ML , HNode: 58, LNode: 265, solved: 186ms, makespan: 57, sum_of_costs: 1238, sum_of_loss: 1159
48 , distance , HNode: 57, LNode: 266, solved: 124ms, makespan: 56, sum_of_costs: 1249, sum_of_loss: 1156
48 , conflict , HNode: 58, LNode: 271, solved: 129ms, makespan: 57, sum_of_costs: 1267, sum_of_loss: 1171
48 , neighbour , HNode: 57, LNode: 257, solved: 126ms, makespan: 56, sum_of_costs: 1194, sum_of_loss: 1123
49 , ML , HNode: 49, LNode: 220, solved: 171ms, makespan: 48, sum_of_costs: 1236, sum_of_loss: 1108
49 , distance , HNode: 49, LNode: 225, solved: 127ms, makespan: 48, sum_of_costs: 1237, sum_of_loss: 1130
49 , conflict , HNode: 51, LNode: 245, solved: 141ms, makespan: 48, sum_of_costs: 1197, sum_of_loss: 1104
49 , neighbour , HNode: 90, LNode: 406, solved: 213ms, makespan: 87, sum_of_costs: 1381, sum_of_loss: 1275
50 , ML , HNode: 54, LNode: 255, solved: 168ms, makespan: 53, sum_of_costs: 1280, sum_of_loss: 1194
50 , distance , HNode: 54, LNode: 246, solved: 120ms, makespan: 53, sum_of_costs: 1274, sum_of_loss: 1200
50 , conflict , HNode: 54, LNode: 248, solved: 119ms, makespan: 53, sum_of_costs: 1352, sum_of_loss: 1228
50 , neighbour , HNode: 58, LNode: 271, solved: 127ms, makespan: 55, sum_of_costs: 1227, sum_of_loss: 1176
51 , ML , HNode: 46, LNode: 205, solved: 163ms, makespan: 45, sum_of_costs: 1320, sum_of_loss: 1171
